X;Y;Trunk;Max H;Area;Trunk/max H;Crown D;tree diameter;Trunk Vol;C %;Tot C;mass 1;mass 2;mass 3;;;;;;;
;;m;m;m2;;m2;m;m3;;m3;ton/m3;ton/m3;ton/m3;;Tot C;;;771.483;;m3
532827.04;152672.64;5.07;8.4;59.5;0.604;8.71;0.3910;0.6083;0.304;;;;;;;;;;;
533215.03;152729.54;7.99;16.7;246.25;0.478;17.71;0.8335;4.3572;2.179;;;;;;;;;;;
533027.44;152930.26;5.25;12.1;24.25;0.434;5.56;0.2363;0.2301;0.115;;;;;;;;;;;
532741.2;152065.7;6.94;18;15;0.386;4.37;0.1780;0.1725;0.086;;;;;;;;;;;
533345.98;152706.87;16.31;23.6;166.75;0.691;14.57;0.6793;5.9089;2.954;;;;;;;;;;;
533079.91;152580.04;6.32;17.8;63.75;0.355;9.01;0.4060;0.8177;0.409;;;;;;;;;;;
532644.5;152198.07;3.99;5.1;35.75;0.782;6.75;0.2948;0.2721;0.136;;;;;;;;;;;
532623.87;152000.49;15.79;19.1;253.75;0.827;17.98;0.8466;8.8848;4.442;;;;;;;;;;;
532776.85;152247.61;6.78;17.2;92.5;0.394;10.86;0.4966;1.3124;0.656;;;;;;;;;;;
533484.01;152734.26;14.47;21.8;121.5;0.664;12.44;0.5745;3.7489;1.874;;;;;;;;;;;
533128.34;152880.89;17.24;23;200.75;0.750;15.99;0.7490;7.5917;3.796;;;;;;;;;;;
533029.92;152214.34;4.12;5.7;23.25;0.723;5.44;0.2306;0.1719;0.086;;;;;;;;;;;
533432.31;152617.33;8.65;15.3;125.75;0.565;12.66;0.5851;2.3245;1.162;;;;;;;;;;;
533200.98;152533.88;5.62;19.4;49.5;0.290;7.94;0.3534;0.5509;0.275;;;;;;;;;;;
532971.03;152431.89;7.34;14.2;85.75;0.517;10.45;0.4767;1.3096;0.655;;;;;;;;;;;
533140.31;152937.1;23.83;31.2;157.5;0.764;14.16;0.6592;8.1287;4.064;;;;;;;;;;;
533324.38;152600.16;10.93;16.5;151;0.662;13.87;0.6447;3.5660;1.783;;;;;;;;;;;
533462.55;152728.79;8.86;18;125;0.492;12.62;0.5832;2.3659;1.183;;;;;;;;;;;
532721.31;152422.54;6.47;9.8;52.5;0.660;8.18;0.3650;0.6767;0.338;;;;;;;;;;;
533131.77;152804.06;12.14;18.3;186.25;0.663;15.40;0.7201;4.9412;2.471;;;;;;;;;;;
532934.85;152213.63;4.83;15.8;63.5;0.306;8.99;0.4051;0.6222;0.311;;;;;;;;;;;
532861.71;152392.76;6.28;18.7;55;0.336;8.37;0.3745;0.6913;0.346;;;;;;;;;;;
533476.66;152595.18;9.21;15.8;179.25;0.583;15.11;0.7057;3.6006;1.800;;;;;;;;;;;
533230.55;152703.79;5.4;12;108.75;0.450;11.77;0.5415;1.2431;0.622;;;;;;;;;;;
532892.23;152249.49;5.6;18.4;38.75;0.304;7.03;0.3084;0.4181;0.209;;;;;;;;;;;
533146.17;152921.17;22.43;29.1;224;0.771;16.89;0.7932;11.0790;5.540;;;;;;;;;;;
