OBJECTID;pointid;grid_code;POINT_X;POINT_Y
544;1600875;10.89999962;533181.25;152663.75
545;1600876;7;533181.75;152663.75
546;1600877;5.099999905;533182.25;152663.75
547;1600878;11.39999962;533182.75;152663.75
548;1600879;9.600000381;533183.25;152663.75
549;1600880;10.69999981;533183.75;152663.75
550;1600881;10.10000038;533184.25;152663.75
551;1600882;8.899999619;533184.75;152663.75
552;1600883;8.899999619;533185.25;152663.75
553;1600884;6.800000191;533185.75;152663.75
554;1600885;11.60000038;533186.25;152663.75
555;1600886;8.100000381;533186.75;152663.75
556;1600887;10;533187.25;152663.75
557;1600888;10.30000019;533187.75;152663.75
558;1600889;5.199999809;533188.75;152663.75
559;1600890;8.899999619;533189.25;152663.75
560;1600891;8.199999809;533189.75;152663.75
561;1600892;7.900000095;533190.25;152663.75
562;1600893;6.599999905;533190.75;152663.75
563;1600894;4.400000095;533191.25;152663.75
565;1600896;5.099999905;533192.25;152663.75
566;1600897;7.599999905;533192.75;152663.75
567;1600898;4.599999905;533193.25;152663.75
568;1600899;5;533193.75;152663.75
569;1600900;4.599999905;533194.25;152663.75
570;1600901;4.199999809;533194.75;152663.75
571;1602169;4.5;533172.25;152663.25
572;1602170;4.5;533172.75;152663.25
573;1602171;4.300000191;533173.25;152663.25
574;1602172;5.900000095;533173.75;152663.25
575;1602173;7.199999809;533174.25;152663.25
576;1602174;6;533174.75;152663.25
577;1602175;4.099999905;533175.25;152663.25
578;1602176;7.599999905;533176.25;152663.25
579;1602177;7.5;533176.75;152663.25
580;1602178;8.899999619;533177.25;152663.25
581;1602179;8.899999619;533177.75;152663.25
582;1602180;9.399999619;533178.25;152663.25
583;1602181;4.800000191;533178.75;152663.25
584;1602182;10.10000038;533179.25;152663.25
585;1602183;9.899999619;533179.75;152663.25
587;1602185;10.60000038;533181.25;152663.25
588;1602186;9.699999809;533181.75;152663.25
589;1602187;5.400000095;533182.25;152663.25
590;1602188;5.599999905;533182.75;152663.25
591;1602189;9.199999809;533183.25;152663.25
592;1602190;10.10000038;533183.75;152663.25
593;1602191;10.5;533184.25;152663.25
594;1602192;9.399999619;533184.75;152663.25
595;1602193;9.100000381;533185.25;152663.25
596;1602194;9.399999619;533185.75;152663.25
597;1602195;10.60000038;533186.25;152663.25
598;1602196;8.399999619;533186.75;152663.25
599;1602197;7.800000191;533187.25;152663.25
600;1602198;8.5;533187.75;152663.25
601;1602199;9.899999619;533188.25;152663.25
602;1602200;8.5;533188.75;152663.25
603;1602201;8.800000191;533189.25;152663.25
604;1602202;8.300000191;533189.75;152663.25
605;1602203;7.800000191;533190.25;152663.25
606;1602204;7.699999809;533190.75;152663.25
607;1602205;7.099999905;533191.25;152663.25
608;1602206;6.900000095;533191.75;152663.25
609;1602207;7.900000095;533192.25;152663.25
610;1602208;7.300000191;533192.75;152663.25
611;1602209;4.900000095;533193.25;152663.25
612;1602210;4.599999905;533193.75;152663.25
613;1602211;4.599999905;533194.25;152663.25
614;1602212;4.599999905;533194.75;152663.25
615;1603579;4.5;533171.25;152662.75
616;1603580;4.599999905;533171.75;152662.75
617;1603581;4.300000191;533172.25;152662.75
618;1603582;4.400000095;533172.75;152662.75
619;1603583;6;533173.25;152662.75
620;1603584;7.5;533173.75;152662.75
621;1603585;6.599999905;533174.25;152662.75
