OBJECTID,pointid,grid_code,POINT_X,POINT_Y
420,3226499,12.39999962,532609.25,152050.75
421,3226500,12.60000038,532609.75,152050.75
422,3226501,13.30000019,532610.25,152050.75
423,3226502,13.39999962,532610.75,152050.75
424,3226503,12.60000038,532611.25,152050.75
425,3226504,11,532611.75,152050.75
426,3226505,13,532612.25,152050.75
427,3226506,13.80000019,532612.75,152050.75
428,3226507,13.89999962,532613.25,152050.75
429,3226508,13.10000038,532613.75,152050.75
430,3226509,12.69999981,532614.25,152050.75
431,3226510,10,532614.75,152050.75
432,3226511,9.199999809,532615.25,152050.75
433,3226512,13.19999981,532615.75,152050.75
434,3226513,12.80000019,532616.25,152050.75
435,3226514,12.5,532616.75,152050.75
436,3226515,12.30000019,532617.25,152050.75
437,3226516,10.60000038,532617.75,152050.75
438,3226517,12,532618.25,152050.75
439,3226518,12.89999962,532618.75,152050.75
440,3226519,11.80000019,532619.25,152050.75
441,3226520,9.800000191,532619.75,152050.75
442,3226521,12.69999981,532620.25,152050.75
443,3226522,12.5,532620.75,152050.75
444,3226523,14,532621.25,152050.75
445,3226524,11.60000038,532622.25,152050.75
446,3226525,5.800000191,532622.75,152050.75
447,3226526,12.30000019,532623.25,152050.75
448,3226527,10.5,532623.75,152050.75
449,3226528,13,532624.25,152050.75
450,3226529,13.89999962,532624.75,152050.75
451,3226530,13.60000038,532625.25,152050.75
452,3226531,13.30000019,532625.75,152050.75
453,3226532,12.10000038,532626.25,152050.75
454,3226533,11.19999981,532626.75,152050.75
455,3226534,8.300000191,532627.25,152050.75
456,3226535,8.100000381,532627.75,152050.75
457,3226536,7.300000191,532628.25,152050.75
458,3226537,10.39999962,532628.75,152050.75
462,3227115,8.100000381,532605.75,152050.25
463,3227116,9.399999619,532606.25,152050.25
464,3227117,10.80000019,532606.75,152050.25
465,3227118,11.39999962,532607.25,152050.25
466,3227119,11.89999962,532607.75,152050.25
467,3227120,13.19999981,532608.25,152050.25
468,3227121,12.60000038,532608.75,152050.25
